,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
ADANIENT.NS,1.0,0.7663981516528464,0.1811470651727403,0.21026564592237837,0.27013003286292075,0.2299846465713827,0.3438702181915216,0.32673322208197864,0.2278556910336015,0.3207426907691227,0.11730504975492838,0.11876053133236969,0.2990531286239307,0.17775968716062812,0.16710880210674592,0.2902848925863329,0.3600625397214901,0.1520954083530982,0.289279520705504,0.25288092610918966,0.25329173242852143,0.08488833240175755,0.2870406170975234,0.27303516768673514,0.1539811689344417,0.3475026920902026,0.1546287369207178,0.320147795059211,0.22753789797145188,0.3193971496487539,0.29527804414343645,0.260240413658094,0.1146412377270072,0.34211095786257706,0.22635360922256012,0.2464391281433045,0.32681447554205734,0.28868336993055965,0.4254904695638325,0.25800493778891376,0.19861759397444823,0.228864062587281,0.3058014442485799,0.16716383447434874,0.18310110605873073,0.2612654034565642,0.2983973662350221,0.30476423415915926,0.2059760780216965
ADANIPORTS.NS,0.7663981516528464,1.0,0.19719761015761303,0.2416029346294979,0.35341732275791227,0.2638486493792967,0.37501966370044365,0.362603997198531,0.2880939129823261,0.41191038750704434,0.15747921593424333,0.15203765569577352,0.36949332359212894,0.18838957033848217,0.19213705080369148,0.32007640685166105,0.42086892277449195,0.2010682464164016,0.36288082566517993,0.3029286336926512,0.3189905412338252,0.1402557289130358,0.35813961045605247,0.3570602029449578,0.19244604035682453,0.42148089591168614,0.23966861211424928,0.38518643367983463,0.27665674782616795,0.42442634889943737,0.34936802997545213,0.30722602538748794,0.15001720229177629,0.42680520419879237,0.28323426503925475,0.3474695309113811,0.4140908162673312,0.3326115459685265,0.4962015399322285,0.3168981864808225,0.24943915677054274,0.2551803898679513,0.3856564853534562,0.20729216112381896,0.2236138062873583,0.3304522587045012,0.37475996689789565,0.3406523655589904,0.2604559236541773
APOLLOHOSP.NS,0.1811470651727403,0.19719761015761303,1.0,0.20876330637338356,0.20162927528416302,0.2069281700535672,0.2733484438289446,0.2920787639933699,0.18888081524198694,0.1815511584444556,0.17955741905962963,0.23153217750901384,0.1727309389782557,0.26926666697298157,0.22588572158273296,0.22915980215359832,0.26440498720776934,0.22605854143767778,0.18995179447308647,0.24226859816218882,0.2100746374929322,0.2009854605038482,0.2247443179054168,0.1823998100607554,0.1853966560203518,0.16586435020752927,0.15535741030011968,0.23665860365256244,0.2011156787294035,0.24185149039599077,0.23328577977915785,0.18269218163562118,0.22293106221214204,0.17688143714143198,0.11014346453082308,0.17940649710885218,0.20376559502669642,0.21817314220572237,0.20702411427518896,0.2002820314695629,0.2427430391577533,0.24800708299149443,0.21744778276701127,0.1913111605747838,0.2465997247528097,0.26785428551335844,0.25425892151847346,0.21963987719653433,0.24502934191967912
ASIANPAINT.NS,0.21026564592237837,0.2416029346294979,0.20876330637338356,1.0,0.18246739271162424,0.23611680555653952,0.31233143268644264,0.314264181726298,0.19135673333776165,0.22717207525190433,0.3410083580002909,0.13338469415717913,0.04524959758801714,0.22756871618858168,0.16517588664841526,0.31023798167604655,0.32283472193480506,0.17810381584667825,0.25588241552588,0.27810534621073574,0.09670014201228441,0.38737827476298836,0.24677685602515437,0.23617325150271823,0.18360124104164405,0.19979486319402004,0.2317925737504993,0.1864082089632308,0.21253783843456128,0.2865120707060986,0.24535481131393097,0.31610780265549204,0.3459296997180172,0.1310690765150215,-0.014197265007850063,0.12609379788229755,0.2606905178766184,0.2427835101936167,0.20976540176606095,0.2782335836298214,0.18094419107537246,0.3257068878326758,0.13968584865023131,0.24435217843298576,0.16352282694912817,0.3321745691267087,0.35535651760497095,0.2578691055264787,0.19206460972273512
AXISBANK.NS,0.27013003286292075,0.35341732275791227,0.20162927528416302,0.18246739271162424,1.0,0.27938590909890715,0.4179632583343174,0.4007834008201485,0.2528343623642141,0.2747011859860644,0.18256783717589534,0.13937535742267756,0.2646081541175575,0.1360831589666432,0.1765835133761356,0.3408022516601411,0.39248252521086596,0.19275662788644649,0.4551326090204212,0.28511161632724913,0.2695885344259436,0.2171843343167426,0.5881330784568407,0.3953742024005512,0.1976443999364978,0.2767360008560153,0.2453587985642831,0.36074986005628146,0.41538455788395384,0.3915841843702043,0.3280256326679102,0.33852124944589423,0.20160009550832084,0.30817410172668175,0.2101688275151054,0.2073828220073244,0.34619278436551365,0.29746167122933725,0.544803126791907,0.2856659005542781,0.11906446876322085,0.23287319997946637,0.3493401904087655,0.19896731150988717,0.18671643117938755,0.27902628737217505,0.3732382614379931,0.2838530396029624,0.22225375165752642
BAJAJ-AUTO.NS,0.2299846465713827,0.2638486493792967,0.2069281700535672,0.23611680555653952,0.27938590909890715,1.0,0.2636064316728037,0.24926376041230833,0.2566863184829876,0.26159336994448884,0.18760663503625077,0.13142599540378044,0.1817639981614393,0.23666710502656982,0.20069069754182478,0.4262225468981521,0.2880556737866987,0.18656166697220702,0.2675546771137617,0.5255399623875412,0.22869187419775272,0.21126036177981292,0.23221250854128983,0.2488455272258433,0.14172020124819829,0.26731992838375485,0.1803410362282937,0.26710605135088455,0.23741142270729254,0.2895301330212832,0.40021595456752923,0.4327908054623306,0.2519351646943978,0.2319895493290831,0.17221474096952138,0.1929044561390725,0.278879642888302,0.24853205518075946,0.2571385434810558,0.23593518416900583,0.22446400883647596,0.2646376458591406,0.27308237666824925,0.15535373851100168,0.16342284172356397,0.30777037490337095,0.3003972503151542,0.2805653935763019,0.18642811842913407
BAJAJFINSV.NS,0.3438702181915216,0.37501966370044365,0.2733484438289446,0.31233143268644264,0.4179632583343174,0.2636064316728037,1.0,0.7842915487322936,0.2569992400808,0.3097391469629402,0.21811327965583915,0.13522729220618912,0.227479119744582,0.20939746079491922,0.148726481895444,0.3192066150702269,0.43987460870498873,0.26458729418600263,0.4099994393906662,0.30678177316066724,0.32274481060706967,0.20874596875449664,0.41235015815697773,0.38621340354443096,0.307244371301529,0.2750586853051951,0.23605558059201742,0.36715265769802374,0.36727496689707995,0.3765791553876348,0.38268277804343775,0.33477436910833963,0.2531839183526717,0.28713425559979944,0.15579643517296762,0.1911293168834533,0.36930691335024274,0.4016768625643099,0.4370366395114482,0.3104623774365355,0.20792565403961288,0.2984310696592737,0.3870859641759221,0.2906390767544788,0.2883628351254518,0.38970821976123565,0.4045030683470599,0.322347233664295,0.31268868709279407
BAJFINANCE.NS,0.32673322208197864,0.362603997198531,0.2920787639933699,0.314264181726298,0.4007834008201485,0.24926376041230833,0.7842915487322936,1.0,0.2602070941316386,0.2794250319413052,0.22680645864119295,0.0901954959189243,0.20555608641425954,0.20491895856502584,0.13623425774655085,0.31887111156580694,0.41453201832188874,0.2257319523443928,0.4278217543725641,0.2838905117503789,0.27015562757040645,0.2179096621520961,0.40997226163240075,0.3657534430749546,0.2729444729914411,0.24983558118677449,0.2546377962532532,0.3499170949277735,0.3955944322585721,0.35966799602680405,0.37307246126108157,0.34627780678176473,0.2600621300969626,0.2608747414867887,0.1498079170814816,0.14936017016741213,0.3533380742472185,0.3345473951433328,0.42315098582093874,0.29410232029844524,0.18362782418135332,0.2899449091402241,0.33303164544553915,0.2647972326968936,0.2487148003449665,0.37887424640807854,0.3882189884893143,0.3153804045542433,0.28034683901137847
BHARTIARTL.NS,0.2278556910336015,0.2880939129823261,0.18888081524198694,0.19135673333776165,0.2528343623642141,0.2566863184829876,0.2569992400808,0.2602070941316386,1.0,0.22228455133152747,0.16225917164097353,0.14453913444438396,0.21032330896378693,0.16956465679033236,0.17666567691394755,0.295901216189621,0.3170300939722984,0.2783661039636431,0.27005000875343,0.23095352430952812,0.26387625250488056,0.14929394235516744,0.3214945718589476,0.23237562472115886,0.25780061467655235,0.20209464737448574,0.23514052852119555,0.30851368377143523,0.2998731405689836,0.28672595769397685,0.2803207389354649,0.28401392513401624,0.16645318214146826,0.22847670112025628,0.2269875742970701,0.19457211486365716,0.30998743302230924,0.26844505155357656,0.2715098622637594,0.21197771685921601,0.22966927597358547,0.26235480520870547,0.2740233045892588,0.24435233495954437,0.25968311720567305,0.2695460935015133,0.26241742662345274,0.25598701693748793,0.2500580510427798
BPCL.NS,0.3207426907691227,0.41191038750704434,0.1815511584444556,0.22717207525190433,0.2747011859860644,0.26159336994448884,0.3097391469629402,0.2794250319413052,0.22228455133152747,1.0,0.14988531646461764,0.12572167339927395,0.3963226447606846,0.17750963613595294,0.1950391145910539,0.27974509918590773,0.3790370332165911,0.15492917803620068,0.27503025091312644,0.3070464177712216,0.28232195561368395,0.13329712422370762,0.24292216437515118,0.27175405799647795,0.16591746386004716,0.7878472323194429,0.2236898585523835,0.3482824300234549,0.22842720705732142,0.40890301290167275,0.31572853299724035,0.25614828718373184,0.1553836613515679,0.43778425060936016,0.3545727597596659,0.38643811116817073,0.3707209687624326,0.28439625899380827,0.4457672148818699,0.27485608085756114,0.22412485021074907,0.25687436919370477,0.3752944002466819,0.23082860905132274,0.2171588066764846,0.29470325153126636,0.3575376565568992,0.30745202034129976,0.2538224835125318
