,Momentum,Annual Volatility,PE Ratio,Return on Equity,Market Cap,Momentum Score,Low Volatility Score,Value Score,Quality Score,Log Market Cap,Size Score,Combined Factor Score,Rank,Missing Fundamental Count
DRREDDY.NS,0.12005648406510061,0.21864986559826163,19.313496,0.161,1091531833344,0.6165754668982,0.475673340100419,0.6046499156107176,-0.3049810980792753,27.718603177278876,2.0507314373826118,0.6885298123825345,1,0
TCS.NS,-0.2656469123874792,0.2106223713050507,17.916574,0.48395002,8811489263616,-1.5643758082563857,0.8408142888546873,0.6836294247546444,2.9007451586819455,29.80707758399875,-0.7927275574976743,0.4136171013074434,2,0
CIPLA.NS,-0.0894849487004803,0.2275214384508242,24.24307,,1102138703872,-0.5682719033634157,0.07213838759762653,0.3259404852998884,0.0,27.72827368432144,2.037565036996399,0.37347440130609966,3,1
SBIN.NS,0.40329759066584736,0.24853943064918177,11.927304,,10116756668416,2.2181560033896432,-0.8838921409707533,1.022252200206994,0.0,29.94521424111016,-0.9808006882587239,0.27514307487343204,4,1
ITC.NS,-0.2478318964517321,0.20031342353823378,19.108242,,3892906033152,-1.4636411969480205,1.309730096296274,0.6162546152072789,0.0,28.99017704687845,0.3194829501931742,0.15636529294974127,5,1
SUNPHARMA.NS,0.023977074342530047,0.2067303276889895,40.64587,,4439249256448,0.07329658193690933,1.0178489209145927,-0.6014449324872206,0.0,29.12150639169038,0.14067797868111118,0.1260757098090785,6,1
AXISBANK.NS,0.09456310489168285,0.24276605066967472,15.31054,0.13152,4023162241024,0.4724237214698951,-0.6212824938958271,0.830969996477607,-0.5976109299316493,29.023089336450916,0.27467285076087444,0.07183462897618002,7,0
MARUTI.NS,0.11813931192470006,0.23268981390348098,29.369461,0.14434,4314231996416,0.6057348596783683,-0.16295184696005005,0.03610336851037218,-0.4703546733391312,29.092940440014686,0.17957053679827922,0.03762044893756768,8,0
HINDUNILVR.NS,0.017800927864691785,0.20168498132250628,51.320045,0.21603,5444238049280,0.03837369906818428,1.2473430185447376,-1.204943983984996,0.24126787230186905,29.32557892666846,-0.13716688421227863,0.03697474434350325,9,0
INFY.NS,-0.20250685213255581,0.24614723258508175,15.359916,0.31439,4723667107840,-1.2073517421143012,-0.7750799215123928,0.8281783644154801,1.2176271077496132,29.18360654349954,0.05612858957822309,0.023900479623324467,10,0
ICICIBANK.NS,-0.09840375706389148,0.20514489084953494,17.098757,0.16359,9170883444736,-0.6187031068527852,1.0899645638043054,0.7298673573160609,-0.2792717607489615,29.847054738312828,-0.8471564739633598,0.014940115911051977,11,0
LT.NS,0.21319519545969223,0.24567439284850462,34.328167,0.16951999,5514366287872,1.1432262385806407,-0.7535721952261828,-0.24425313376323007,-0.2204083965499704,29.338377855027527,-0.15459263185386868,-0.04592002376252226,12,0
ASIANPAINT.NS,0.056518022551177216,0.226066202979306,62.81796,,2414824914944,0.25729864969965405,0.13833165305786066,-1.8550158440305777,0.0,28.512647901416912,0.9696391309972767,-0.09794928205515725,13,1
KOTAKBANK.NS,-0.13591645652918105,0.22796974593715832,19.432405,0.11389,3745838792704,-0.8308178314981322,0.05174654240726323,0.5979270102138556,-0.7726130987090356,28.951666684508684,0.37191482866105324,-0.11636850978499913,14,0
BHARTIARTL.NS,0.0004488199113268365,0.2197296245255016,36.260628,0.23125,11169931722752,-0.05974340935132647,0.42655911033986565,-0.3535110745929842,0.39234745306147334,30.044246616435203,-1.11563331895618,-0.14199624789983034,15,0
HDFCBANK.NS,-0.15987628611138116,0.20812402865922286,17.784103,0.13818,12263228440576,-0.9662981548771626,0.9544546317425475,0.6911191017414805,-0.5315012053679854,30.137626342976258,-1.2427698653836985,-0.21899909842896373,16,0
TITAN.NS,0.30841412803273216,0.23983183314371037,81.03346,,3867162443776,1.6816395746414798,-0.48781581897235343,-2.8848881266714126,0.0,28.983542135371437,0.3285163856732307,-0.27250959706581107,17,1
BAJAJFINSV.NS,-0.06595077052242515,0.2680877723505502,30.6323,0.14602,2933164605440,-0.43519841638038115,-1.7730737180223894,-0.03529532400632342,-0.4536783464221708,28.70710302621748,0.7048883770806111,-0.39847148555013084,18,0
RELIANCE.NS,0.01679304850676755,0.2244337010271292,24.081394,0.09139,19458343043072,0.03267466765937714,0.21258811340379466,0.33508136154090506,-0.9959567627754676,30.599297042250935,-1.8713347634266788,-0.4573894767196139,19,0
BAJFINANCE.NS,0.11270419406023469,0.2814203784604533,32.176838,0.17907,6098182471680,0.5750021066195589,-2.379524531504028,-0.12262078175854021,-0.1256113198712564,29.439011887247972,-0.29160591925044055,-0.4688720891529412,20,0
