Model,Fold,Train Start,Train End,Test Start,Test End,Train Rows,Test Rows,MAE,RMSE,Directional Accuracy
Linear Regression,1,2021-09-28,2022-06-28,2022-06-29,2023-03-27,3740,3720,0.057963767498974916,0.0766674825783113,0.49731182795698925
Random Forest Regressor,1,2021-09-28,2022-06-28,2022-06-29,2023-03-27,3740,3720,0.05740745813981394,0.07615953236502178,0.4913978494623656
Linear Regression,2,2021-09-28,2023-03-27,2023-03-28,2023-12-29,7460,3720,0.047433233333227284,0.05976824494610417,0.5190860215053763
Random Forest Regressor,2,2021-09-28,2023-03-27,2023-03-28,2023-12-29,7460,3720,0.047668936437207654,0.0595586213975572,0.475
Linear Regression,3,2021-09-28,2023-12-29,2024-01-01,2024-10-03,11180,3720,0.04956870552175592,0.06272088699447735,0.5782258064516129
Random Forest Regressor,3,2021-09-28,2023-12-29,2024-01-01,2024-10-03,11180,3720,0.0508858474255538,0.06439507409541907,0.531989247311828
Linear Regression,4,2021-09-28,2024-10-03,2024-10-04,2025-07-03,14900,3720,0.047036330285270135,0.05998967034053653,0.5454301075268817
Random Forest Regressor,4,2021-09-28,2024-10-03,2024-10-04,2025-07-03,14900,3720,0.047340086407834124,0.06040727642124717,0.5271505376344086
Linear Regression,5,2021-09-28,2025-07-03,2025-07-04,2026-04-06,18620,3720,0.051175636126958815,0.06817404956344397,0.4970430107526882
Random Forest Regressor,5,2021-09-28,2025-07-03,2025-07-04,2026-04-06,18620,3720,0.05166465646950738,0.06857708416849423,0.5043010752688172
