Stock Ticker,Average Daily Return,Annual Expected Return,Daily Volatility,Annual Volatility,Risk-Return Category
COALINDIA.NS,0.0015176547721903588,0.3824490025919704,0.018368544233042974,0.2915915999215283,High Return / Higher Risk
M&M.NS,0.0013959187213552255,0.35177151778151683,0.01765386086667239,0.2802463532001021,High Return / Higher Risk
NTPC.NS,0.0013631363596944876,0.3435103626430109,0.015991260977300865,0.25385339817761876,High Return / Higher Risk
ONGC.NS,0.0011990587645491035,0.30216280866637407,0.019443532204461468,0.3086565049300831,High Return / Higher Risk
POWERGRID.NS,0.001113106609200173,0.28050286551844356,0.01604597876316549,0.2547220160997581,High Return / Higher Risk
IOC.NS,0.001104232605737101,0.2782666166457495,0.017280026041115032,0.2743119093210622,High Return / Higher Risk
SBIN.NS,0.0010993281315594644,0.277030689152985,0.01565651367861278,0.24853944955134277,High Return / Higher Risk
BHARTIARTL.NS,0.0010910417369667555,0.2749425177156224,0.01384166642517158,0.2197296425502986,High Return / Lower Risk
EICHERMOT.NS,0.001062003295367882,0.26762483043270624,0.016558046728284,0.2628508430401569,High Return / Higher Risk
HINDALCO.NS,0.001054791020367338,0.2658073371325692,0.020912542853953248,0.33197632604124744,High Return / Higher Risk
LT.NS,0.0010495046127186043,0.2644751624050883,0.01547603066899423,0.24567437059540378,High Return / Higher Risk
ADANIENT.NS,0.001041439464924629,0.2624427451610065,0.03084129661655514,0.4895904057490961,High Return / Higher Risk
TITAN.NS,0.0010201587843288382,0.2570800136508672,0.015107984544630821,0.2398318194990034,High Return / Lower Risk
ADANIPORTS.NS,0.001002555488071448,0.2526439829940049,0.023593528260096773,0.37453564996074307,High Return / Higher Risk
BAJAJ-AUTO.NS,0.0010018118835579232,0.25245659465659664,0.01510070804624683,0.23971630866816698,High Return / Lower Risk
SUNPHARMA.NS,0.0009351331685909711,0.23565355848492472,0.013022781444247232,0.20673024647894842,High Return / Lower Risk
TATASTEEL.NS,0.0008654002574270782,0.21808086487162373,0.019990195798854433,0.3173345204595419,High Return / Higher Risk
APOLLOHOSP.NS,0.0008340507113079802,0.210180779249611,0.01700109562755054,0.26988402627675795,High Return / Higher Risk
BPCL.NS,0.0007327059309399612,0.18464189459687022,0.017778178546182077,0.28221983518140964,High Return / Higher Risk
HEROMOTOCO.NS,0.000729448299017863,0.1838209713525015,0.01590797082633917,0.2525312080209847,High Return / Higher Risk
MARUTI.NS,0.0007254487283892659,0.18281307955409498,0.014658078691343087,0.23268978549185346,High Return / Lower Risk
ICICIBANK.NS,0.0007120677139526159,0.1794410639160592,0.012922916222702164,0.20514493523395272,High Return / Lower Risk
