Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2022-05-13,0.09102912331223541,5.839960725018832e-15,8.934281605841262e-16,0.09839764056394783,2.629156026016894e-15,4.742351207357103e-16,3.3836238443628174e-15,4.964738358441746e-16,0.06865039501913771,4.807817262942755e-15,5.802083020723052e-17,5.478491961869007e-15,5.647776993901862e-16,2.1858223980572656e-15,2.6341958726975927e-15,5.4494763494393195e-16,1.6732503255671063e-15,5.343163279329443e-15,1.087785937274185e-15,3.712119628771512e-15,1.7243721723253155e-15,2.549321996244015e-16,3.659318269399691e-15,6.418974052079611e-16,4.351235108567465e-15,0.015650142952512384,0.015543862841601811,3.2840510029512486e-15,1.2474518065576856e-15,2.7434959661954533e-15,5.293381617801695e-15,2.952802089439134e-15,2.857095325985394e-15,0.069119830859647,0.1812557504020736,0.34749286997925294,4.916197904601235e-15,1.7020309355332682e-15,2.7527696948950937e-15,3.653097265500888e-15,0.020195925218306425,2.130614080005429e-15,3.13832091922203e-15,3.898503875329404e-15,0.014336387614316428,0.07832807123698414,1.2644218048448867e-15,2.459918007095972e-15,1.5578646710445431e-15
2022-06-13,0.0,0.0,8.638497641802423e-15,7.554377742165003e-15,0.0,1.4639224145490846e-15,3.688368606424567e-15,0.0,0.09659079863487122,0.0,5.154752660633692e-15,1.3394934341822237e-14,0.010358570066273259,0.0,0.0,3.0824253880119742e-15,0.0,8.081700177885613e-15,2.6758730455518667e-15,0.0,0.0,6.544669629182675e-15,6.511703438793677e-15,0.0,8.1296430705406e-15,0.0,0.22587503900366657,0.0,1.033227416220813e-15,1.6369837431137367e-15,0.15686081557412102,8.69985153769728e-15,8.315770191134045e-15,0.0822024874626162,0.1352204953989619,0.20968143142024612,7.089135454407668e-15,9.487069802567239e-15,0.0,0.0,0.08321036243931837,5.479423074215233e-15,0.0,9.399291193631365e-15,5.398491929676202e-15,9.069216552900025e-15,0.0,0.0,0.0
2022-07-12,0.045140771626880356,0.0,0.0,0.0,4.062568803076433e-15,0.0,6.495502993312838e-16,0.0,0.02736347515644699,2.5750796860243754e-16,5.469246212400102e-16,0.0,0.06439982289374897,0.0,0.0,4.764428244105227e-16,0.0,1.043939348075388e-15,1.333439446693155e-15,0.0,0.0,0.0,6.235960980966688e-16,2.2611502704701777e-15,1.0233352583985373e-15,0.0,0.37937682555715774,6.944540966687454e-16,1.0467557855645677e-15,1.6984634513427286e-16,0.28196173468920865,6.592576277790631e-16,1.2100559159753245e-16,1.6323192175919017e-15,1.0367492691979504e-15,0.20175737007655634,0.0,3.604348198460192e-16,7.319271651275207e-16,0.0,1.6851004213388283e-15,0.0,3.3741577835605347e-15,8.256235674726273e-16,0.0,0.0,0.0,7.916725414178742e-16,0.0
2022-08-11,0.13939267936555724,8.424269064950956e-15,0.0,0.0,0.0,0.0,1.3762366333861257e-16,0.0,0.0,2.4600634379270985e-15,0.0,0.0,0.14271381304392416,8.930486473886006e-16,2.9559943728715745e-16,0.0,0.0,3.583332649294323e-16,1.0632698707764825e-17,7.52528951933546e-17,4.357904230781843e-15,0.0,0.0,7.388099563335621e-16,0.0,0.0,0.2511297793752571,4.90450613246895e-15,1.1958487911697057e-16,2.99557542840338e-16,0.31379696343893615,0.0,0.0,0.0,0.0,0.15296676477632642,0.0,0.0,0.0,1.2767736836756711e-15,0.0,5.69458397554494e-16,3.3239066275223873e-15,0.0,1.6702826656453209e-15,0.0,5.660870476057443e-16,1.559962631179652e-15,2.1602184387182853e-15
2022-09-13,0.17659630411066107,0.0,0.0,4.581966150549879e-15,2.3691233602016963e-16,2.7534445753347358e-15,0.0,0.0,5.734222867545175e-15,0.0,1.7313267944489785e-15,6.4785056228649555e-15,0.12379589723695998,0.0,5.435630651097131e-16,3.819950376667526e-15,5.666609388972887e-17,9.247983274576684e-16,3.970392560173852e-16,0.0,0.0,1.3395123685225029e-15,3.885548988851423e-15,0.0,6.20689279545039e-16,0.0,0.3230607060709039,0.0,1.9719343381713247e-15,1.1735848610233714e-15,0.25663845140723884,3.544949721866409e-15,3.624323207355029e-15,9.129437440188199e-16,3.2910957607541977e-15,0.1199086411742388,0.0,4.159822743800008e-16,1.9694680826313856e-15,0.0,3.1972234931934175e-15,0.0,0.0,0.0,0.0,9.241025825357276e-16,0.0,5.079943252397126e-16,0.0
2022-10-13,0.4579156539021887,7.028944094112201e-16,3.4894369295088157e-16,0.0,3.697483044431049e-16,0.0,6.744290201857921e-16,0.0,0.0,0.0,1.0420377194041326e-15,0.13920920050767643,0.0,0.0,4.318811357395232e-16,0.0,4.937050117684305e-16,1.7194794240250715e-15,0.0,0.0,0.0,3.816707166921828e-16,8.818150846838773e-16,0.0,1.7810074737971502e-16,0.0,0.2602808783628091,0.0,0.0,1.1189239588175895e-15,0.14259426722732618,5.815884916943268e-16,2.260673761497788e-16,0.0,0.0,1.7859048065399378e-15,7.039673883971545e-16,0.0,1.6987393987950763e-16,1.1991904949653015e-15,0.0,0.0,1.8453203561415643e-15,9.45857975276354e-16,0.0,3.6733913098287684e-17,2.6702163090776103e-16,1.901903851084046e-15,1.787383514307607e-16
2022-11-15,0.4853475158393614,0.0,0.0,0.0,2.8841830784220326e-15,4.173976717288186e-15,0.0,0.0,4.812850947177828e-15,0.0,6.06357233261568e-15,0.1477856176386987,0.04850094504226739,0.0,1.852250303259966e-15,6.684733144814544e-15,0.0,4.541376778657308e-16,2.435909314054297e-15,2.4468787083585953e-15,0.0,3.0790058443673236e-15,3.6293601020107665e-15,0.0,0.0,0.0,0.31836592147968745,0.0,0.0,0.0,5.9208410341353445e-15,3.3850904642805256e-15,4.719305104939096e-15,6.4158941517788895e-15,3.2196006081173286e-15,7.25739597388762e-15,0.0,9.062298035368576e-16,0.0,0.0,6.5599193989652744e-15,0.0,0.0,2.2820387911637384e-15,0.0,0.0,0.0,0.0,0.0
2022-12-14,0.35053138220401076,1.2443416603340749e-14,9.66204503138416e-15,0.0,0.0,0.0,1.6051755242994104e-14,1.5372510766047368e-14,0.0,4.089057058584292e-15,0.0,0.07638068625478793,0.09918366459804487,1.333180304593986e-14,0.0,0.0,6.513163246806603e-15,3.2189660554744673e-15,0.0,0.0,1.0854312172919704e-14,0.0,0.0,0.0,2.9990830977170784e-15,0.0,0.3804902289324897,1.0514159841428365e-14,2.0903207186074896e-15,1.1849093077163572e-15,0.03969828587984612,0.0,0.0,0.0,0.0,0.0,1.1748228814522372e-15,0.0,0.0,6.930256023268042e-15,0.05371575213079535,5.548433946210368e-15,1.670822212685746e-14,0.0,2.053061867428053e-14,3.2057859242640846e-15,2.4652447135505972e-15,5.731447272925921e-15,2.194701089065772e-14
2023-01-12,0.25690224222642816,0.0,0.0,1.2629018162064402e-15,6.600221120716516e-15,6.771217379251135e-15,0.0,0.0,1.6073695312582813e-15,3.3853535209502073e-16,5.082917026256258e-15,6.5624199461046875e-15,0.04800539683385028,0.0,5.518684349157784e-16,1.499488662238895e-15,0.0,0.0,2.379669396851045e-15,1.940627656333671e-15,0.0,4.4678078409490524e-15,2.646371061062981e-15,1.4229357302901827e-15,0.0,3.3971905946298493e-15,0.5291837326378799,0.0,0.0,0.0,0.16284775571206356,2.068357260164304e-15,4.1028304495813574e-15,5.915953389331891e-15,5.779329092522141e-15,5.304659663935593e-15,0.0,2.4831598823465756e-15,2.7063126181248523e-15,0.0,0.003060872589782364,1.2040975892111987e-16,0.0,0.0,0.0,0.0,1.4994250159895717e-15,0.0,0.0
2023-02-13,4.240951894533984e-15,0.0,4.026884678798736e-15,7.84642088704444e-16,0.0,1.5744121713048612e-14,0.0,0.0,1.5124501694401233e-14,0.0,0.09720016243060453,2.7945773700159038e-14,0.06406829175054626,0.0,1.2761796914321384e-14,1.3705861362473086e-15,0.0,1.2921605882179372e-14,1.2670270467500407e-14,0.0,0.0,7.284319457329791e-15,4.325122469708121e-15,0.0,1.9724257163398546e-15,5.614585360396082e-15,0.594299226720584,0.0,2.1226157294066833e-15,1.2041534193968648e-15,0.24443231909840418,0.0,1.7958593160469357e-14,1.992917611215065e-14,2.3091750605352235e-14,2.596088932256944e-14,0.0,0.0,0.0,0.0,2.683045756791494e-14,0.0,0.0,9.039334762330331e-15,0.0,0.0,0.0,0.0,0.0
